Episode,Reward,Epsilon,Alpha,Steps,Max_Q
268,24.495044542509273,0.2609670281126685,0.17578255734514187,100,19.13411647951684
269,16.725782870303917,0.25966219297210513,0.17543099223045155,100,19.13411647951684
270,21.878078170623485,0.2583638820072446,0.17508013024599064,100,19.13411647951684
271,30.303025372181196,0.2570720625972084,0.1747299699854987,100,19.13411647951684
272,30.541487001471637,0.25578670228422234,0.17438051004552768,100,19.13411647951684
273,27.514439825835517,0.25450776877280124,0.17403174902543664,100,19.13411647951684
274,23.294134846777006,0.2532352299289372,0.17368368552738575,100,19.13411647951684
275,16.467175629100005,0.2519690537792925,0.17333631815633097,100,19.13411647951684
276,26.49514957240058,0.2507092085103961,0.17298964552001833,100,19.13411647951684
277,15.803250865853196,0.2494556624678441,0.1726436662289783,100,19.13411647951684
278,21.17352922456384,0.24820838415550486,0.17229837889652036,100,19.13411647951684
279,20.168771430832837,0.24696734223472733,0.17195378213872728,100,19.13411647951684
280,27.728931788563234,0.2457325055235537,0.17160987457444984,100,19.13411647951684
281,31.80222876808674,0.24450384299593592,0.17126665482530093,100,19.13411647951684
282,19.1149182280919,0.24328132378095624,0.1709241215156503,100,19.13411647951684
283,26.65512261073719,0.24206491716205145,0.17058227327261904,100,19.13411647951684
284,29.944164910210258,0.2408545925762412,0.1702411087260738,100,19.13411647951684
285,17.32702816534204,0.23965031961336,0.16990062650862164,100,19.13411647951684
286,26.556196934397825,0.2384520680152932,0.1695608252556044,100,19.13411647951684
287,27.16571797094107,0.23725980767521673,0.1692217036050932,100,19.13411647951684
288,21.31848310316002,0.23607350863684065,0.168883260197883,100,19.13411647951684
289,24.095329816106442,0.23489314109365644,0.16854549367748725,100,19.13411647951684
290,32.740182390510405,0.23371867538818816,0.1682084026901323,100,19.13411647951684
291,23.086025817753463,0.23255008201124722,0.167871985884752,100,19.13411647951684
292,28.746266539786387,0.231387331601191,0.16753624191298247,100,19.13411647951684
293,32.588398332572666,0.23023039494318503,0.16720116942915655,100,19.13411647951684
294,30.97479081033164,0.2290792429684691,0.1668667670902982,100,19.13411647951684
295,21.03889352988789,0.22793384675362674,0.16653303355611762,100,19.13411647951684
296,22.70417674315316,0.22679417751985861,0.16619996748900537,100,19.13411647951684
297,23.618398266485,0.22566020663225933,0.16586756755402737,100,19.13411647951684
298,22.049266642073597,0.22453190559909803,0.1655358324189193,100,19.13411647951684
299,29.53098373087958,0.22340924607110255,0.16520476075408147,100,19.13411647951684
300,31.68303211144161,0.22229219984074702,0.1648743512325733,100,19.13411647951684
301,37.16443773730441,0.2211807388415433,0.16454460253010816,100,19.13411647951684
302,26.006183286495606,0.22007483514733558,0.16421551332504797,100,19.13411647951684
303,33.026470665260746,0.2189744609715989,0.16388708229839788,100,19.13411647951684
304,36.16315597476513,0.2178795886667409,0.16355930813380107,100,19.13411647951684
305,24.717319089794035,0.2167901907234072,0.16323218951753346,100,19.13411647951684
306,20.00133431274566,0.21570623976979014,0.16290572513849838,100,19.13411647951684
307,13.805030537575039,0.21462770857094118,0.1625799136882214,100,19.13411647951684
308,30.898165535523262,0.21355457002808648,0.16225475386084495,100,19.13411647951684
309,24.219351658567412,0.21248679717794605,0.16193024435312325,100,19.13411647951684
310,42.04789253459043,0.21142436319205632,0.161606383864417,100,19.13411647951684
311,42.269542680676,0.21036724137609603,0.1612831710966882,100,19.13411647951684
312,20.95289688766886,0.20931540516921554,0.1609606047544948,100,19.13411647951684
313,31.59727297898612,0.20826882814336947,0.1606386835449858,100,19.13411647951684
314,31.69552598691969,0.20722748400265262,0.16031740617789586,100,19.13411647951684
315,26.388143431192294,0.20619134658263935,0.15999677136554005,100,19.13411647951684
316,34.80367092444935,0.20516038984972615,0.15967677782280895,100,19.13411647951684
317,20.074299683860797,0.2041345879004775,0.15935742426716334,100,19.13411647951684
318,23.16264198894962,0.2031139149609751,0.15903870941862902,100,19.13411647951684
319,25.70706058390205,0.20209834538617025,0.15872063199979178,100,19.13411647951684
320,34.48844270897587,0.2010878536592394,0.15840319073579218,100,19.13411647951684
321,15.11357884023467,0.2000824143909432,0.15808638435432062,100,19.13411647951684
322,36.98237786087151,0.19908200231898848,0.15777021158561197,100,19.13411647951684
323,29.17826417703409,0.19808659230739353,0.15745467116244072,100,19.13411647951684
324,27.670297007043143,0.19709615934585656,0.15713976182011585,100,19.13411647951684
325,33.72873109124047,0.19611067854912728,0.15682548229647564,100,19.13411647951684
326,23.15522921631862,0.19513012515638165,0.15651183133188268,100,19.13411647951684
327,28.805253520022756,0.19415447453059972,0.1561988076692189,100,19.13411647951684
328,41.711203077717165,0.19318370215794672,0.15588641005388046,100,19.13411647951684
329,26.95090216025025,0.192217783647157,0.15557463723377268,100,19.13411647951684
330,28.168331131780974,0.1912566947289212,0.15526348795930517,100,19.13411647951684
331,30.220590470410386,0.1903004112552766,0.15495296098338657,100,19.13411647951684
332,43.14867407640846,0.18934890919900021,0.15464305506141976,100,19.13411647951684
333,39.3133483676916,0.18840216465300522,0.15433376895129694,100,19.13411647951684
334,37.143595356964525,0.18746015382974018,0.15402510141339434,100,19.13411647951684
335,30.096390764620438,0.1865228530605915,0.15371705121056756,100,19.13411647951684
336,16.49267373284807,0.18559023879528855,0.15340961710814643,100,19.13411647951684
337,37.293997491580264,0.1846622876013121,0.15310279787393014,100,19.13411647951684
338,16.949333114402634,0.18373897616330553,0.15279659227818226,100,19.13411647951684
339,36.46362520551152,0.182820281282489,0.15249099909362587,100,19.13411647951684
340,27.257090571266236,0.18190617987607657,0.15218601709543866,100,19.13411647951684
341,20.84749033554303,0.18099664897669618,0.15188164506124777,100,19.13411647951684
342,31.150833128023958,0.1800916657318127,0.15157788177112527,100,19.13411647951684
343,22.79588660040643,0.17919120740315364,0.15127472600758304,100,19.13411647951684
344,36.23216253965163,0.17829525136613786,0.15097217655556786,100,19.13411647951684
345,24.664759028298434,0.17740377510930716,0.1506702322024567,100,19.13411647951684
346,25.12150470001373,0.17651675623376062,0.15036889173805182,100,19.13411647951684
347,26.712145702944937,0.1756341724525918,0.1500681539545757,100,19.13411647951684
348,33.871598730555434,0.17475600159032884,0.14976801764666656,100,19.13411647951684
349,28.092353458974245,0.17388222158237718,0.14946848161137322,100,19.13411647951684
350,24.22762118083226,0.1730128104744653,0.14916954464815046,100,19.13411647951684
351,19.119832365403603,0.17214774642209296,0.14887120555885416,100,19.13411647951684
